algorithm_class,N,chi,status,estimate,exact_count,absolute_error,relative_error,median_elapsed_s,min_elapsed_s,max_elapsed_s,estimate_min,estimate_max,repeats,warmup,peak_rss_bytes,peak_sparse_support,peak_dense_mps_elements,peak_retained_bond,peak_working_bond,peak_pretruncate_rank,svd_calls,svd_qr_fallbacks,truncated_svd_calls,max_discarded_fraction,sum_discarded_fraction,svd_elapsed_s,tensor_entries_examined,tensor_entries_accepted,blas_threads,julia_threads,truncation_occurred
truncated_boundary_mps_float64,5,4,approximate_diagnostic,2.9729679710388366,10,7.0270320289611634,0.70270320289611632,0.014300799,0.014298260,0.014306790,2.9729679710388366,2.9729679710388366,3,1,403906560,NA,448,4,5,7,184,0,22,0.24999999999999933,1.3052013540055021,0.001511839,425,345,128,1,true
truncated_boundary_mps_float64,5,8,approximate_diagnostic,6.2636786436952017,10,3.7363213563047983,0.37363213563047981,0.023199290,0.023140418,0.023298112,6.2636786436952017,6.2636786436952017,3,1,404795392,NA,1646,8,14,14,184,0,18,0.16666666666666588,0.54798832662869912,0.003132109,425,345,128,1,true
truncated_boundary_mps_float64,5,16,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.024881283,0.024619549,0.025597628,9.9999999999999876,9.9999999999999876,3,1,408580096,NA,2056,15,15,15,184,0,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003294589,425,345,128,1,false
truncated_boundary_mps_float64,5,32,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.025475205,0.025318242,0.083200094,9.9999999999999876,9.9999999999999876,3,1,400338944,NA,2056,15,15,15,184,0,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003404626,425,345,128,1,false
truncated_boundary_mps_float64,5,64,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.025066457,0.024955575,0.025194249,9.9999999999999876,9.9999999999999876,3,1,397512704,NA,2056,15,15,15,184,0,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003298099,425,345,128,1,false
truncated_boundary_mps_float64,5,128,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.024940674,0.024842672,0.099533194,9.9999999999999876,9.9999999999999876,3,1,387919872,NA,2056,15,15,15,184,0,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003306889,425,345,128,1,false
truncated_boundary_mps_float64,5,0,floating_uncapped_check_pass,9.9999999999999876,10,1.2434497875801753e-14,1.2434497875801752e-15,0.025945065,0.025598258,0.026105179,9.9999999999999876,9.9999999999999876,3,1,419364864,NA,2056,15,15,15,184,0,0,3.0814215198154446e-29,2.7006552792321442e-28,0.003483451,425,345,128,1,false
truncated_boundary_mps_float64,6,4,approximate_diagnostic,-1.1049251186981552e-15,4,4.0000000000000009,1.0000000000000002,0.028364344,0.028035097,0.028556008,-1.1049251186981552e-15,-1.1049251186981552e-15,3,1,397570048,NA,600,4,6,7,285,0,54,0.24013710012525555,2.342352501808624,0.002554115,612,516,128,1,true
truncated_boundary_mps_float64,6,8,approximate_diagnostic,-1.9591210248077136e-14,4,4.0000000000000195,1.0000000000000049,0.049449530,0.048750477,0.062739490,-1.9591210248077136e-14,-1.9591210248077136e-14,3,1,430743552,NA,2238,8,13,15,285,0,52,0.20833333333330206,1.4820463496099598,0.005629203,612,516,128,1,true
truncated_boundary_mps_float64,6,16,approximate_diagnostic,2.5632037082315993,4,1.4367962917684007,0.35919907294210018,0.097053114,0.095330839,0.107083617,2.5632037082315993,2.5632037082315993,3,1,450400256,NA,9444,16,31,32,285,0,47,0.20098942259559119,0.68353203721617939,0.014931799,612,516,128,1,true
truncated_boundary_mps_float64,6,32,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.127016850,0.126659483,0.131427529,4.0000000000001208,4.0000000000001208,3,1,457367552,NA,11024,31,31,31,285,0,0,1.2860242116757658e-28,6.6975050032809352e-28,0.024840988,612,516,128,1,false
truncated_boundary_mps_float64,6,64,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.128325356,0.126333266,0.129642163,4.0000000000001208,4.0000000000001208,3,1,542330880,NA,11024,31,31,31,285,0,0,1.2860242116757658e-28,6.6975050032809352e-28,0.027198501,612,516,128,1,false
truncated_boundary_mps_float64,6,128,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.128146003,0.127238044,0.131828327,4.0000000000001208,4.0000000000001208,3,1,406188032,NA,11024,31,31,31,285,0,0,1.2860242116757658e-28,6.6975050032809352e-28,0.025610629,612,516,128,1,false
truncated_boundary_mps_float64,6,0,floating_uncapped_check_pass,4.0000000000001208,4,1.2079226507921703e-13,3.0198066269804258e-14,0.127319666,0.127147493,0.132234836,4.0000000000001208,4.0000000000001208,3,1,406134784,NA,11024,31,31,31,285,0,0,1.2860242116757658e-28,6.6975050032809352e-28,0.026819832,612,516,128,1,false
truncated_boundary_mps_float64,7,4,approximate_diagnostic,1.056028371336946,40,38.943971628663057,0.97359929071657647,0.045395748,0.045332567,0.118082149,1.056028371336946,1.056028371336946,3,1,408178688,NA,780,4,7,8,408,0,56,0.47098993647158016,3.1739865946376646,0.003385530,833,721,128,1,true
truncated_boundary_mps_float64,7,8,approximate_diagnostic,1.0418042017047326,40,38.958195798295264,0.97395489495738163,0.093614243,0.093376029,0.104697098,1.0418042017047326,1.0418042017047326,3,1,411336704,NA,2542,8,15,15,408,0,81,0.28416561743548124,2.7635901467447286,0.009264437,833,721,128,1,true
truncated_boundary_mps_float64,7,16,approximate_diagnostic,3.0000301418715076,40,36.999969858128495,0.92499924645321241,0.153619167,0.152496525,0.156856893,3.0000301418715076,3.0000301418715076,3,1,389427200,NA,7928,16,28,28,408,0,47,0.23319596005661447,1.8296583575761267,0.019954761,833,721,128,1,true
truncated_boundary_mps_float64,7,32,approximate_diagnostic,13.053664274244468,40,26.946335725755532,0.67365839314388831,0.585553285,0.580807329,0.590082997,13.053664274244468,13.053664274244468,3,1,513478656,NA,45414,32,63,64,408,0,55,0.19369697259567423,0.99157643726527367,0.155191692,833,721,128,1,true
truncated_boundary_mps_float64,7,64,approximate_diagnostic,33.129031498355836,40,6.870968501644164,0.17177421254110409,1.803875938,1.784572799,1.956034167,33.129031498355836,33.129031498355836,3,1,594628608,NA,103438,64,128,128,408,0,26,0.064691137748737013,0.25009295674468873,0.620856383,833,721,128,1,true
truncated_boundary_mps_float64,7,128,floating_uncapped_check_pass,40.000000000001918,40,1.9184653865522705e-12,4.7961634663806763e-14,1.212268152,1.142780656,1.378858601,40.000000000001918,40.000000000001918,3,1,582782976,NA,81952,86,90,90,408,0,0,6.3577557619529667e-29,1.2312582528152334e-27,0.438065114,833,721,128,1,false
truncated_boundary_mps_float64,7,0,floating_uncapped_check_pass,40.000000000001918,40,1.9184653865522705e-12,4.7961634663806763e-14,1.410827902,1.138439101,1.674119249,40.000000000001918,40.000000000001918,3,1,678588416,NA,81952,86,90,90,408,0,0,6.3577557619529667e-29,1.2312582528152334e-27,0.636095436,833,721,128,1,false
truncated_boundary_mps_float64,8,4,approximate_diagnostic,0.99185607561081401,92,91.008143924389188,0.9892189556998825,0.073229061,0.073149149,0.078096470,0.99185607561081401,0.99185607561081401,3,1,393129984,NA,912,4,8,8,553,0,79,0.29999968794613729,3.9375557405330737,0.004832415,1088,960,128,1,true
truncated_boundary_mps_float64,8,8,approximate_diagnostic,0.55361807569247579,92,91.446381924307531,0.99398241222073402,0.152241469,0.150464763,0.152863641,0.55361807569247579,0.55361807569247579,3,1,407961600,NA,2962,8,14,15,553,0,134,0.21867313809497266,3.7399166207843728,0.016136418,1088,960,128,1,true
truncated_boundary_mps_float64,8,16,approximate_diagnostic,1.9915695858897349,92,90.008430414110265,0.97835250450119848,0.283082356,0.282631566,0.284284910,1.9915695858897349,1.9915695858897349,3,1,386600960,NA,10186,16,31,31,553,0,98,0.23178862031738032,3.049735141688247,0.033271475,1088,960,128,1,true
truncated_boundary_mps_float64,8,32,approximate_diagnostic,4.009847248106543,92,87.990152751893461,0.95641470382492888,0.998572687,0.993987734,1.000331452,4.009847248106543,4.009847248106543,3,1,430604288,NA,43002,32,57,61,553,0,92,0.21597068052228827,1.9733755462517584,0.243131533,1088,960,128,1,true
truncated_boundary_mps_float64,8,64,approximate_diagnostic,14.476941684826686,92,77.523058315173316,0.84264193820840561,4.753049057,4.609959843,4.894792203,14.476941684826686,14.476941684826686,3,1,439377920,NA,186244,64,128,128,553,0,76,0.15839999865625926,1.1862674137941531,1.525372896,1088,960,128,1,true
truncated_boundary_mps_float64,8,128,approximate_diagnostic,54.434396291370362,92,37.565603708629638,0.40832177944162651,13.855348703,13.844133414,14.412193699,54.434396291370362,54.434396291370362,3,1,524070912,NA,597802,128,256,256,553,1,50,0.12432307286187146,0.41876146052388213,4.261968026,1088,960,128,1,true
truncated_boundary_mps_float64,8,0,floating_uncapped_check_pass,92.000000000008015,92,8.0149220593739301e-12,8.7118718036673149e-14,12.027260756,12.027260756,12.027260756,92.000000000008015,92.000000000008015,1,1,561360896,NA,552804,262,262,262,553,2,0,1.4827080458832002e-28,2.8326968488005484e-27,3.421240965,1088,960,128,1,false
